EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
IMPAX LABORATORIES INC,COMPUTER OCCUPATION,1,1,100610,100610,CERTIFIED,0
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,102731,137945,CERTIFIED,35214
GL PWR SOLUTIONS INC,COMPUTER OCCUPATION,1,1,82118,95000,CERTIFIED,12882
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,82555,109633,CERTIFIED,27078
SORRENTO THERAPEUTICS INC,ENGINEERS,1,1,71573,71573,CERTIFIED,0
ACCENTURE LLP,ANALYSTS,1,1,87693,87693,CERTIFIED,0
WAITEX INFORMATION SYSTEMS INC,MANAGERS,1,1,52707,52707,CERTIFIED,0
TATA CONSULTANCY SERVICES LIMITED,ENGINEERS,1,1,62130,62500,CERTIFIED,370
SUN POWER CONSULTING LLC,SCIENTIST,1,1,66186,69000,CERTIFIED,2814
HCL AMERICA INC,COMPUTER OCCUPATION,1,1,77272,77272,CERTIFIED,0
VERIZON DATA SERVICES LLC,MARKETING,1,1,68827,84000,CERTIFIED,15173
DELOITTE TAX LLP,COMPUTER OCCUPATION,15,1,55765,65000,CERTIFIED,9235
AMERICAN BUSINESS SOLUTIONS INC,ANALYSTS,1,1,56638,60000,CERTIFIED,3362
MAJESCO SOFTWARE AND SOLUTIONS INC,COMPUTER OCCUPATION,1,1,76315,87600,CERTIFIED,11285
ACCENTURE LLP,ANALYSTS,1,1,77771,77771,CERTIFIED,0
SNOWFLAKE COMPUTING INC,ENGINEERS,1,1,113381,120000,CERTIFIED,6619
ARISTON TEK INC,ANALYSTS,1,1,51792,65000,CERTIFIED,13208
AGILENT TECHNOLOGIES INC,ANALYSTS,5,1,95098,95098,CERTIFIED,0
THE UNIVERSITY OF CHICAGO,MATHEMATICIANS AND STATISTICIANS,1,1,79248,80000,CERTIFIED,752
SOFTCORP INTERNATIONAL INC,COUNSELORS,1,1,71843,72000,CERTIFIED,157
8K MILES SOFTWARE SERVICES INC,ANALYSTS,1,1,70221,70221,CERTIFIED,0
ERNST and YOUNG US LLP,SCIENTIST,1,1,57762,65000,CERTIFIED,7238
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,47424,72500,CERTIFIED,25076
RAMCO SYSTEMS CORPORATION,DESIGNERS,1,1,77272,77272,CERTIFIED,0
CUMMINS INC,COMPUTER OCCUPATION,2,1,70387,70387,CERTIFIED,0
INTUIT INC,COMPUTER OCCUPATION,1,1,135898,135898,CERTIFIED,0
PFIZER INC,COMPUTER OCCUPATION,1,1,49837,50100,CERTIFIED,263
TECHNO COMP INC,DOCTORS,1,1,74381,75000,CERTIFIED,619
ARGUS MERCHANT SERVICES LLC,ANALYSTS,1,0,65748.8,66560,CERTIFIED,811.2
TECH MAHINDRA AMERICASINC,COMPUTER OCCUPATION,1,1,96429,96429,CERTIFIED,0
DESPARD ANALYTICS LLC,IT MANAGERS,1,0,53913.6,62400,CERTIFIED,8486.4
MY3TECH INC,ENGINEERS,1,1,85654,85654,CERTIFIED,0
CHINOOK ASIA LLC,ANALYSTS,1,1,60694,60694,CERTIFIED,0
TECHSPACE SOLUTIONS INC,ENGINEERS,1,1,55910,60000,CERTIFIED,4090
SENTRY INSURANCE A MUTUAL COMPANY,COMPUTER OCCUPATION,1,1,86902,89908,CERTIFIED,3006
ITC INFOTECH USA INC,COMPUTER OCCUPATION,1,1,73944,73944,CERTIFIED,0
BLACKAPPLE SOLUTION LLC,ANALYSTS,1,1,95701,100000,CERTIFIED,4299
WIPRO LIMITED,MARKETING,1,1,74568,74568,CERTIFIED,0
CANDOR PS LLC,COMPUTER OCCUPATION,1,1,46301,62000,CERTIFIED,15699
TATA CONSULTANCY SERVICES LIMITED,ENGINEERS,1,1,50918,60100,CERTIFIED,9182
AGADIA SYSTEMS INC,ANALYSTS,1,1,65083,100000,CERTIFIED,34917
HEXAWARE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,52125,60000,CERTIFIED,7875
VERTRAUS INC,COMPUTER OCCUPATION,1,1,65083,65083,CERTIFIED,0
XFI CORPORATION,COMPUTER OCCUPATION,1,1,64834,64834,CERTIFIED,0
SABRE GLBL INC,EDUCATION,1,1,83429,83429,CERTIFIED,0
WAVE ERA INC,MANAGERS,1,1,55910,65000,CERTIFIED,9090
AROHAK INC,ANALYSTS,1,1,65083,70500,CERTIFIED,5417
TEXAS INSTRUMENTS INCORPORATED,DOCTORS,1,1,82722,88000.2,CERTIFIED,5278.2
FORMLABS INC,COMPUTER OCCUPATION,1,1,51002,55000,CERTIFIED,3998
KEIO ACADEMY OF NEW YORK,COMPUTER OCCUPATION,1,1,99870,120000,CERTIFIED,20130
A and Z PHARMACEUTICAL INC,ANALYSTS,1,1,54451,56451,CERTIFIED,2000
MINDSPARK INTERACTIVE NETWORK INC,COMPUTER OCCUPATION,1,1,55744,62000,CERTIFIED,6256
RANDSTAD TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,98987,117000,CERTIFIED,18013
72ANDSUNNY PARTNERS LLC,ANALYSTS,1,1,62962,75000,CERTIFIED,12038
JABIL CIRCUIT INC,COMPUTER OCCUPATION,1,1,70741,114681.06,CERTIFIED,43940.06
TECHNO COMP INC,ENGINEERS,1,1,82805,83000,CERTIFIED,195
AUTHENTIC BRANDS GROUP LLC,ANALYSTS,1,1,46675,55000,CERTIFIED,8325
SMART WORKS LLC,ENGINEERS,1,1,95846,111405,CERTIFIED,15559
GAEA GLOBAL TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,94619,94619,CERTIFIED,0
HEIGHTS GLOBAL IT SERVICE,COMPUTER OCCUPATION,1,1,74714,74714,CERTIFIED,0
PANTAR SOLUTIONS INC,COMPUTER OCCUPATION,1,1,70221,70300,CERTIFIED,79
JUVOLICIOUS INC,ENGINEERS,1,1,60861,60861,CERTIFIED,0
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,71261,71261,CERTIFIED,0
GRUEN ASSOCIATES,COMPUTER OCCUPATION,1,1,32885,45000,CERTIFIED,12115
ANALOG DEVICES INC,ANALYSTS,1,1,68390,68390,CERTIFIED,0
3M COMPANY,ANALYSTS,1,1,82659,109450,CERTIFIED,26791
STRATEGIC RESOURCES INTERNATIONAL INC,DOCTORS,1,1,51002,60000,CERTIFIED,8998
GC DESIGN and DEVELOPMENT GROUP LLC,COMPUTER OCCUPATION,1,1,47756.8,51376,CERTIFIED,3619.2
MEMORIAL SLOAN KETTERING CANCER CENTER,COMPUTER OCCUPATION,1,1,118331,140000,CERTIFIED,21669
AUROPRO SYSTEMS INC,ANALYSTS,1,1,70221,72000,CERTIFIED,1779
CALEEN CANTRELL DDS,ANALYSTS,1,1,42557,45000,CERTIFIED,2443
CITI VENTURES INC,COMPUTER OCCUPATION,1,1,110219,135000,CERTIFIED,24781
SAP AMERICA INC,ENGINEERS,1,1,91666,125322,CERTIFIED,33656
APPTIO INC,ANALYSTS,1,1,67787,86500,CERTIFIED,18713
SUNRISE INFOTEK CORP,ENGINEERS,1,1,68827,68850,CERTIFIED,23
OAK HILLS LOCAL SCHOOL DISTRICT,ANALYSTS,1,1,49060,49060,CERTIFIED,0
NOVOBIOTIC PHARMACEUTICALS LLC,COMPUTER OCCUPATION,1,1,54662,70000,CERTIFIED,15338
GOOGLE INC,COMPUTER OCCUPATION,1,1,91325,125000,CERTIFIED,33675
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,IT MANAGERS,1,1,41434,51120,CERTIFIED,9686
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,74443,82765,CERTIFIED,8322
TECH MAHINDRA AMERICASINC,FINANCE,1,1,83013,83013,CERTIFIED,0
CLAIRVOYANT LLC,EDUCATION,8,1,76336,80000,CERTIFIED,3664
AIG EMPLOYEE SERVICES INC,ANALYSTS,1,1,79331,90000,CERTIFIED,10669
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,53206,98000,CERTIFIED,44794
CITADEL LLC,SCIENTIST,1,1,47798,80000,CERTIFIED,32202
RITE PROS INC,COMPUTER OCCUPATION,1,1,74464,90000,CERTIFIED,15536
NYSE MARKET DE INC,COMPUTER OCCUPATION,1,1,90813,91000,CERTIFIED,187
TAD SOLUTIONS INC,COMPUTER OCCUPATION,1,1,72821,90000,CERTIFIED,17179
FOCUS CORE INC,SCIENTIST,1,1,45136,61000,CERTIFIED,15864
HOMESTAR NORTH AMERICA LLC,COMPUTER OCCUPATION,1,1,40789,42000,CERTIFIED,1211
CST ENGINEERING INC,COMPUTER OCCUPATION,1,1,69201.6,72800,CERTIFIED,3598.4
SHIMENTO INC,DOCTORS,1,1,111176,125100,CERTIFIED,13924
PURDUE UNIVERSITY,COMPUTER OCCUPATION,1,1,40760,53929,CERTIFIED,13169
CITADEL LLC,ANALYSTS,1,1,87651,135000,CERTIFIED,47349
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,85654,102820,CERTIFIED,17166
COVANCE LABORATORIES INC,BUSINESS OPERATIONS SPECIALIST,1,1,78021,78021,CERTIFIED,0
HIRANI ENGINEERING and LAND SURVEYING PC,COMPUTER OCCUPATION,1,1,58781,60000,CERTIFIED,1219
CODESOURCE 360 INC,ANALYSTS,1,1,62754,62800,CERTIFIED,46
KFORCE INC,FINANCE,10,1,54392,56160,CERTIFIED,1768
TECHRODE INC,ACCOUNTANTS,1,1,59779,60000,CERTIFIED,221
SIRIUS SPS LLC,COMPUTER OCCUPATION,1,1,52478,55000,CERTIFIED,2522
BARCLAYS BANK PLC,ANALYSTS,1,1,65749,90000,CERTIFIED,24251
CAPGEMINI AMERICA INC,ANALYSTS,3,1,54434,70100,CERTIFIED,15666
ANDHUS TECHNOLOGIES INC,ANALYSTS,1,1,58365,60000,CERTIFIED,1635
SNP TRANSFORMATIONS INC,COMPUTER OCCUPATION,1,1,42557,75000,CERTIFIED,32443
ORPINE INC,COMPUTER OCCUPATION,1,1,62754,62754,CERTIFIED,0
US IT SOLUTIONS INC,ENGINEERS,1,1,73091,75000,CERTIFIED,1909
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,73674,74152,CERTIFIED,478
THE OHIO STATE UNIVERSITY,FINANCE,1,1,59904,59904,CERTIFIED,0
SVK TECHNOLOGY SOLUTIONS INC,ENGINEERS,1,1,66518,66600,CERTIFIED,82
EPAM SYSTEMS INC,ANALYSTS,30,1,67974,75000,CERTIFIED,7026
EXPEDENT CORP,COMPUTER OCCUPATION,1,1,53206,54000,CERTIFIED,794
IKON TECH SERVICES LLC,COMPUTER OCCUPATION,1,1,63274,65000,CERTIFIED,1726
BHATIA and CO INC CPAS,ANALYSTS,1,0,59363.2,59363.2,CERTIFIED,0
WILLIAM GRANT and SONS INC,MARKETING,1,1,79227,82000,CERTIFIED,2773
EP LOGISTICS LLC,COMPUTER OCCUPATION,1,1,47195,52500,CERTIFIED,5305
XAVIENT INFORMATION SYSTEMS INC,MANAGERS,1,1,69763,95000,CERTIFIED,25237
SUNRAY INFOSYS INCORPORATION,ENGINEERS,1,1,47154,60000,CERTIFIED,12846
NATIONAL INSTRUMENTS CORPORATION,COMPUTER OCCUPATION,1,1,73170,73170,CERTIFIED,0
CAPGEMINI AMERICA INC,ANALYSTS,1,1,68702,68800,CERTIFIED,98
SandP OPCO LLC,ENGINEERS,1,1,65749,75000,CERTIFIED,9251
KUMHO TIRE GEORGIA INC,COMPUTER OCCUPATION,1,1,51563,51563,CERTIFIED,0
PARTY CITY CORPORATION,COMPUTER OCCUPATION,1,1,58552,68640,CERTIFIED,10088
AGREEYA SOLUTIONS INC,ANALYSTS,1,1,65083,65083,CERTIFIED,0
VIED TECHNOLOGIES INC,MARKETING,1,1,62650,63000,CERTIFIED,350
INTERNATIONAL PAPER,COMPUTER OCCUPATION,1,1,102586,112500,CERTIFIED,9914
MAXIMA CONSULTING INC,COMPUTER OCCUPATION,1,1,88067,88100,CERTIFIED,33
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,62587,64191,CERTIFIED,1604
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,83034,99144,CERTIFIED,16110
NORTECH NORTH AMERICA INC,COMPUTER OCCUPATION,1,1,78915,80000,CERTIFIED,1085
INTERNATIONAL SOFTWARE SYSTEMS INC,COMPUTER OCCUPATION,1,1,48422,50000,CERTIFIED,1578
ACCENTURE LLP,SCIENTIST,1,1,88234,88234,CERTIFIED,0
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,61922,71319,CERTIFIED,9397
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,66331,72500,CERTIFIED,6169
CALIFORNIA AIR RESOURCES BOARD,ANALYSTS,1,1,89565,93324,CERTIFIED,3759
AERA ENERGY SERVICES COMPANY,SCIENTIST,1,1,114525,134000,CERTIFIED,19475
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,79477,135000,CERTIFIED,55523
VERTICAL FOCUS INC,SCIENTIST,1,1,67496,67500,CERTIFIED,4
BLACK DRUGS INC,BUSINESS OPERATIONS SPECIALIST,1,1,49192,60000,CERTIFIED,10808
TERADATA OPERATIONS INC,ENGINEERS,1,1,114795,130000,CERTIFIED,15205
IGT SOLUTIONS INC,COMPUTER OCCUPATION,1,1,57658,72693,CERTIFIED,15035
MIND CRAFT TECHNOLOGIES INC,ACCOUNTANTS,1,1,55390,62000,CERTIFIED,6610
ADROITCO INC,ANALYSTS,1,1,58365,58365,CERTIFIED,0
APPLE INC,ANALYSTS,25,1,134618,134618,CERTIFIED,0
RANDSTAD TECHNOLOGIES LP,DOCTORS,1,1,77210,100000,CERTIFIED,22790
MandJ ENGINEERING PC,COMPUTER OCCUPATION,1,1,73466,80000,CERTIFIED,6534
DELOITTE and TOUCHE LLP,COMPUTER OCCUPATION,15,1,64376,64376,CERTIFIED,0
KRONSYS INC,COMPUTER OCCUPATION,1,1,77272,78000,CERTIFIED,728
ITCAPS LLC,COMPUTER OCCUPATION,1,1,79768,87651.2,CERTIFIED,7883.2
GENENTECH INC,COMPUTER OCCUPATION,1,1,100402,100402,CERTIFIED,0
UNIVERSITY OF PITTSBURGH,ANALYSTS,1,1,41725,48216,CERTIFIED,6491
3PL WAREHOUSING and DISTRIBUTION LLC,ANALYSTS,1,1,79019,83018,CERTIFIED,3999
EBAY INC,COMPUTER OCCUPATION,1,1,117770,140000,CERTIFIED,22230
SRS CONSULTING INC,EDUCATION,1,1,60902,116000,CERTIFIED,55098
MEDIVO INC,COMPUTER OCCUPATION,1,1,108992,120000,CERTIFIED,11008
TEKINVADERZ LLC,SCIENTIST,1,1,52166,65000,CERTIFIED,12834
TEXAS AandM UNIVERSITY AT GALVESTON,EDUCATION,1,0,18075.2,71822.4,CERTIFIED,53747.2
CHOI KIM and PARK LLP,ANALYSTS,1,0,58468.8,58468.8,CERTIFIED,0
BARNES JEWISH HOSPITAL,ANALYSTS,1,1,54903,57028,CERTIFIED,2125
DELOITTE CONSULTING LLP,DOCTORS,15,1,93870,104000,CERTIFIED,10130
MAVEN COMPANIES INC,COMPUTER OCCUPATION,1,1,57304,90000,CERTIFIED,32696
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,100943,100943,CERTIFIED,0
TECH MAHINDRA AMERICASINC,FINANCE,1,1,71906,71906,CERTIFIED,0
WIPRO LIMITED,FINANCE,1,1,78707,78707,CERTIFIED,0
TEKGENTE SOLUTIONS INC,DOCTORS,1,1,62338,63000,CERTIFIED,662
MICROSOFT CORPORATION,COMPUTER OCCUPATION,1,1,89669,120000,CERTIFIED,30331
X RAY OPTICAL SYSTEMS INC,ANALYSTS,1,1,65541,80232,CERTIFIED,14691
SPLUNK INC,ENGINEERS,1,1,115211,115211,CERTIFIED,0
KLA TENCOR CORPORATION,COMPUTER OCCUPATION,1,1,92976,92976,CERTIFIED,0
HEALTH SERVICES ADVISORY GROUP INC,COMPUTER OCCUPATION,1,1,61485,72720,CERTIFIED,11235
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,97947,101250,CERTIFIED,3303
LARSEN and TOUBRO INFOTECH LIMITED,COMPUTER OCCUPATION,1,1,58261,71388,CERTIFIED,13127
NEXT SPHERE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,81806,82000,CERTIFIED,194
US BANK NATIONAL ASSOCIATION,FINANCE,1,1,95805,95805,CERTIFIED,0
FORD MOTOR COMPANY,COMPUTER OCCUPATION,1,1,91811,91811,CERTIFIED,0
TRANSUNION LLC,COMPUTER OCCUPATION,1,1,76274,76274,CERTIFIED,0
MG WALDBAUM COMPANY,COMPUTER OCCUPATION,1,1,103542,103600,CERTIFIED,58
ITC INFOTECH USA INC,COMPUTER OCCUPATION,1,1,66414,66414,CERTIFIED,0
IBM INDIA PRIVATE LIMITED,SCIENTIST,1,1,61318,74825,CERTIFIED,13507
APIS BUSINESS INTELLIGENCE LLC,ANALYSTS,1,1,101566,115000,CERTIFIED,13434
SYSTEM SOFT TECHNOLOGIES LLC,ENGINEERS,1,1,70741,80000,CERTIFIED,9259
REALM IT SERVICES LLC,DOCTORS,1,1,49275,60000,CERTIFIED,10725
NESS USA INC,COMPUTER OCCUPATION,6,1,94619,94619,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,85738,95983,CERTIFIED,10245
INFO LABS INC,COMPUTER OCCUPATION,1,1,67642,70000,CERTIFIED,2358
NOVATIME TECHNOLOGY INC,COMPUTER OCCUPATION,1,1,79248,79248,CERTIFIED,0
CGI TECHNOLOGIES AND SOLUTIONS INC,ANALYSTS,10,1,49878,49878,CERTIFIED,0
METLIFE GROUP INC,COMPUTER OCCUPATION,1,1,96886,96886,CERTIFIED,0
BROCADE COMMUNICATIONS SYSTEMS INC,ANALYSTS,1,1,66518,94999.92,CERTIFIED,28481.92
BI LABS INC,ANALYSTS,1,1,68827,69000,CERTIFIED,173
CREATIVE INFORMATION TECHNOLOGY INC,COMPUTER OCCUPATION,1,1,63315,64000,CERTIFIED,685
TECH MAHINDRA AMERICAS INC,FINANCE,1,1,64730,78257,CERTIFIED,13527
CEVA LOGISTICS US INC,COMPUTER OCCUPATION,1,1,79602,79602,CERTIFIED,0
EXPEDIA INC,COMPUTER OCCUPATION,1,1,122533,122533,CERTIFIED,0
CAPGEMINI AMERICA INC,ANALYSTS,1,1,71781,71800,CERTIFIED,19
CAPGEMINI AMERICA INC,PUBLIC RELATIONS,2,1,90813,90813,CERTIFIED,0
HEWLETT PACKARD ENTERPRISE COMPANY,SCIENTIST,10,1,81744,102484,CERTIFIED,20740
CETECOM INC,SCIENTIST,1,1,85654,95000,CERTIFIED,9346
INVIVO CORPORATION A PHILIPS OWNED COMPANY,COMPUTER OCCUPATION,5,1,55432,61500,CERTIFIED,6068
INFOSYS LIMITED,FINANCE,1,1,63336,64191,CERTIFIED,855
GOOGLE INC,COMPUTER OCCUPATION,1,1,105010,120000,CERTIFIED,14990
BARCLAYS BANK DELAWARE,ANALYSTS,1,1,110365,135000,CERTIFIED,24635
JUAN T ESTEVEZ MD PC,COMPUTER OCCUPATION,1,1,100339,135000,CERTIFIED,34661
GRID RASTER INC,COMPUTER OCCUPATION,1,1,95306,95306,CERTIFIED,0
HCL AMERICA INC,COMPUTER OCCUPATION,20,1,90272,90272,CERTIFIED,0
ATTAINICA LLC,ANALYSTS,1,1,54558,68000,CERTIFIED,13442
GENERAL ELECTRIC COMPANY,COMPUTER OCCUPATION,1,1,123115,148000,CERTIFIED,24885
KILOWATT ENGINEERING INC,COMPUTER OCCUPATION,1,1,87443,87443,CERTIFIED,0
DEMANDWARE INC,COMPUTER OCCUPATION,1,1,93475,93475,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,47341,62999,CERTIFIED,15658
SANS GLOBAL TECHNOLOGIES INC,COMPUTER OCCUPATION,6,1,69472,70000,CERTIFIED,528
BROOKLYN BOTTLING CO OF MILTON NY,ANALYSTS,1,1,48714,48714,CERTIFIED,0
SOFTWARE PROGRAMMING GROUP LLC,ENGINEERS,1,1,55910,60000,CERTIFIED,4090
PARAM CONSULTING SERVICES INC,COMPUTER OCCUPATION,1,1,55910,56000,CERTIFIED,90
D2SOL INC,ARCHITECTURE,1,1,70803,75000,CERTIFIED,4197
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,55661,64242,CERTIFIED,8581
VISIONET SYSTEMS INC,INTERNIST,4,1,70221,71000,CERTIFIED,779
TECHLAND INC,IT MANAGERS,1,1,114920,120000,CERTIFIED,5080
CAPGEMINI AMERICA INC,ANALYSTS,3,1,84656,84700,CERTIFIED,44
COVETIT INC,ANALYSTS,1,1,67496,70000,CERTIFIED,2504
OFFERPAD INC,COMPUTER OCCUPATION,1,1,57034,70000,CERTIFIED,12966
GVA INFOTECH INC,HUMAN RESOURCES,1,1,82534,84000,CERTIFIED,1466
ALFA SERVICES USA INC,ANALYSTS,1,1,58802,64813,CERTIFIED,6011
PITNEY BOWES INC,COMPUTER OCCUPATION,1,1,84864,84864,CERTIFIED,0
INNOVATIVE INFORMATION TECHNOLOGIESINC,COMPUTER OCCUPATION,1,1,77730,78000,CERTIFIED,270
PARANSYS INC,COMPUTER OCCUPATION,1,1,90584,91000,CERTIFIED,416
PEGAFRAME INFOTECH INC,COMPUTER OCCUPATION,1,1,65645,65645,CERTIFIED,0
STATE STREET BANK AND TRUST COMPANY,ENGINEERS,1,1,68432,68500,CERTIFIED,68
WILLIAM and ASSOCIATES PC,ENGINEERS,1,0,55993.6,55993.6,CERTIFIED,0
HCL AMERICA INC,COMPUTER OCCUPATION,5,1,78749,78749,CERTIFIED,0
PAYPAL INC,COMPUTER OCCUPATION,1,1,87651,110000,CERTIFIED,22349
MEDICAL MANAGEMENT INTERNATIONAL INC,COMPUTER OCCUPATION,1,1,79206,79300,CERTIFIED,94
DOTCOM TEAM LLC,COMPUTER OCCUPATION,1,1,59634,65000,CERTIFIED,5366
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,69472,74674,CERTIFIED,5202
COLUMBIA IS CONSULTING GROUP INC,COMPUTER OCCUPATION,1,1,90646,95000,CERTIFIED,4354
QUALCOMM INNOVATION CENTER INC,COMPUTER OCCUPATION,10,1,134514,134514,CERTIFIED,0
CYIENT INC,COMPUTER OCCUPATION,25,1,55765,55765,CERTIFIED,0
GUITAR CENTER INC,COMPUTER OCCUPATION,1,1,96928,117500,CERTIFIED,20572
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,74090,85538,CERTIFIED,11448
LITMUS7 SYSTEMS CONSULTING INC,COMPUTER OCCUPATION,1,1,80184,90000,CERTIFIED,9816
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,94245,94245,CERTIFIED,0
ACCENTURE LLP,ANALYSTS,1,1,71698,71698,CERTIFIED,0
PENN LIFE SCIENCES LLC,COMPUTER OCCUPATION,5,1,47112,47112,CERTIFIED,0
TEMPLE UNIVERSITY A COMMONWEALTH UNIVERSITY,COMPUTER OCCUPATION,1,1,41725,51000,CERTIFIED,9275
LLP GLOBAL INC,COMPUTER OCCUPATION,1,0,37148.8,37148.8,CERTIFIED,0
ABACUS BUSINESS SOLUTIONS INC,ANALYSTS,1,1,102149,108000,CERTIFIED,5851
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,ANALYSTS,1,1,91187,91187,CERTIFIED,0
POULOMI TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,60840,75000,CERTIFIED,14160
TECH MAHINDRA AMERICASINC,FINANCE,1,1,99653,99653,CERTIFIED,0
NETSCOUT SYSTEMS TEXAS LLC,COMPUTER OCCUPATION,1,1,102003,102003,CERTIFIED,0
IMPETUS TECHNOLOGIES INC,ENGINEERS,2,1,125861,130000,CERTIFIED,4139
YAHOO HOLDINGS INC,MANAGERS,1,1,122641,122641,CERTIFIED,0
SLIQ INFORMATION TECHNOLOGIES INC,ENGINEERS,1,1,75795,76000,CERTIFIED,205
ELISA RESEARCH INC,COMPUTER OCCUPATION,1,1,55141,60000,CERTIFIED,4859
UT BATTELLE LLC OAK RIDGE NATIONAL LABORATORY,COMPUTER OCCUPATION,1,1,60237,82500,CERTIFIED,22263
TECHNOSOFT CORPORATION,ENGINEERS,1,1,58248,60000,CERTIFIED,1752
XAVIENT INFORMATION SYSTEMS INC,MARKETING,1,1,78915,78915,CERTIFIED,0
GRANDISON MANAGEMENT INC,COMPUTER OCCUPATION,10,1,61484.8,61484.8,CERTIFIED,0
PIORION SOLUTIONS INC,COMPUTER OCCUPATION,1,1,59322,60000,CERTIFIED,678
ROBINHOOD MARKETS INC,ENGINEERS,1,1,122533,126500,CERTIFIED,3967
JT MAGEN and COMPANY INC,COMPUTER OCCUPATION,1,1,65541,80000,CERTIFIED,14459
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,65354,74825,CERTIFIED,9471
PITNEY BOWES SOFTWARE INC,COMPUTER OCCUPATION,1,1,87526,87526,CERTIFIED,0
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,78957,78957,CERTIFIED,0
TREDENCE INC,DOCTORS,1,1,119038,140000,CERTIFIED,20962
TEK AND COMPANY,ACCOUNTANTS,1,1,48797,60000,CERTIFIED,11203
MARLABS INC,COMPUTER OCCUPATION,1,1,82534,82600,CERTIFIED,66
MPHASIS CORPORATION,COMPUTER OCCUPATION,25,1,67642,67642,CERTIFIED,0
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,1,1,52229,60000,CERTIFIED,7771
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,90501,95447,CERTIFIED,4946
JUNIPER NETWORKS US INC,COMPUTER OCCUPATION,1,1,115086,115086,CERTIFIED,0
PRICEWATERHOUSECOOPERS LLP,COMPUTER OCCUPATION,1,1,55765,58000,CERTIFIED,2235
EMINENCE IT SOLUTIONS INC,COMPUTER OCCUPATION,1,1,60798,70100,CERTIFIED,9302
TECH MAHINDRA AMERICASINC,ACCOUNTANTS,1,1,69056,69056,CERTIFIED,0
NCS PEARSON INC,COMPUTER OCCUPATION,1,1,68390,68390,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,87693,98942,CERTIFIED,11249
TASER INTERNATIONAL INC,ENGINEERS,1,1,81494,81494,CERTIFIED,0
JC WEALTH MANAGEMENT LLC,COMPUTER OCCUPATION,1,0,49649.6,49649.6,CERTIFIED,0
IROBOT CORPORATION,COMPUTER OCCUPATION,1,1,114774,130000,CERTIFIED,15226
US BANK NATIONAL ASSOCIATION,ANIMAL HUSBANDARY,1,1,111218,111218,CERTIFIED,0
CLOUD BIG DATA TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,46301,60000,CERTIFIED,13699
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,87693,90272,CERTIFIED,2579
REMIX SOFTWARE INC,COMPUTER OCCUPATION,1,1,61818,65000,CERTIFIED,3182
DELIGHT CONSULTING SERVICES LLC,COMPUTER OCCUPATION,1,1,85072,85500,CERTIFIED,428
LEXISNEXIS USA,COMPUTER OCCUPATION,1,1,56618,57000,CERTIFIED,382
MCKESSON CORPORATION,COMPUTER OCCUPATION,1,1,98176,106454,CERTIFIED,8278
VML INC,IT MANAGERS,1,1,62962,62962,CERTIFIED,0
GENROCKET INC,COMPUTER OCCUPATION,1,1,71552,72000,CERTIFIED,448
ROBLOX CORPORATION,DOCTORS,1,1,117770,120000,CERTIFIED,2230
SVK SYSTEMS INC,ENGINEERS,1,1,52312,60000,CERTIFIED,7688
